review_id,review_score,review_comment_message
e64fb393e7b32834bb789ff8bb30750e,5,Recebi bem antes do prazo estipulado.
f7c4243c7fe1938f181bec41a392bdeb,5,Parabéns lojas lannister adorei comprar pela Internet seguro e prático Parabéns a todos feliz Páscoa
8670d52e15e00043ae7de4c01cc2fe06,4,aparelho eficiente. no site a marca do aparelho esta impresso como 3desinfector e ao chegar esta com outro nome...atualizar com a marca correta uma vez que é o mesmo aparelho
4b49719c8a200003f700d3d986ea1a19,4,"Mas um pouco ,travando...pelo valor ta Boa.
"
3948b09f7c818e2d86c9a546758b2335,5,"Vendedor confiável, produto ok e entrega antes do prazo."
9314d6f9799f5bfba510cc7bcd468c01,2,"GOSTARIA DE SABER O QUE HOUVE, SEMPRE RECEBI E ESSA COMPRA AGORA ME DECPCIONOU"
373cbeecea8286a2b66c97b1b157ec46,1,Péssimo
d21bbc789670eab777d27372ab9094cc,5,Loja nota 10
0e0190b9db53b689b285d3f3916f8441,5,obrigado pela atençao amim dispensada
fe3db7c069d694bab50cc43463f91608,5,"A compra foi realizada facilmente.
A entrega foi efetuada muito antes do prazo dado.
O produto já começou a ser usado e até o presente,
sem problemas."
e07eee7ad7666276bd8b27fbd83fd1ff,5,relógio muito bonito e barato.
2c5e27fc178bde7ac173c9c62c31b070,1,Não gostei ! Comprei gato por lebre
58044bca115705a48fe0e00a21390c54,1,"Sempre compro pela Internet e a entrega ocorre antes do prazo combinado, que acredito ser o prazo máximo. No stark o prazo máximo já se esgotou e ainda não recebi o produto."
c92cdd7dd544a01aa35137f901669cdf,4,"Recebi exatamente o que esperava. As demais encomendas de outros vendedores atrasaram, mas esta chegou no prazo."
08c9d79ec0eba1d252e3f52f14b8e6a9,5,"Recomendo ,"
2170c9452c2216457b36003fe2969fbb,5,muito boa 
b193ff3c9f32a01f3a0d9ae26b94d244,5,"Tô completamente apaixonada, loja super responsável e confiável!"
9fd59cd04b42f600df9f25e54082a8d1,1,Nada de chegar o meu pedido.
86c5cfa7fcbde303f704b60a78ced7d6,5,Muito bom. muito cheiroso.
890ec1767be8eb104877db6d68eaade5,5,"otimo vendedor chegou ate antes do prazo , adorei o produto"
7d9ac3e98adc0c8ad579e6a2257d79f9,5,Processo de compra tranquilo e eficiente.
c41bd21983e298a240410ebb391bf075,5,Tomara q dure pois é de pelinho.
e233e51d11511bf30e568c76360ace52,1,"recebi somente 1 controle Midea Split ESTILO.
Faltou Controle Remoto para Ar Condicionado Consul"
3d94fd645cdaacc8c9f0dc0a2a1f5166,5,boa
500c05500aa275953129f49799ee5c73,5,MT lindo
6a0969d0769d2f3ff6438809a1cc455e,5,"Ocorreu tudo como contratado sendo a entrega realizada antes do prazo 
 Estou satisfeita
"
8a64945e89526e68bc16383391590232,5,"Amei achei lindo ,muito delicado adorei"
c0dbf9a325d2a2fece43873be47191e1,4,"Ótima loja para parceria: rápidíssima, produtos bem embalados e de qualidade! Só o custo do frete que foi meio azedo."
109b5ce2dd11bb8460eff3b86da6fefc,5,Recomendo o vendedor... 
6d06808638ec0701bccd70bc8d462c28,1,"O produto não chegou no prazo estipulado e causou transtorno, pq programei a viagem de férias do meu filho, baseado no prazo. Moro na Bahia e ele em Cuiabá sozinho. Agora, a casa está vazia. "
750d4311e8ddb6cba549ee86f06f0cca,5,"Produto entregue como solicitado, e com muita brevidade. Parabéns!
"
8b230a1373c6dc4bd867099fda1d7039,3,Eu comprei duas unidades e só recebi uma e agora o que faço?
cb2fc3e5711b5ae85e0491ee18af63ed,3,"Produto bom, porém o que veio para mim não condiz com a foto do anúncio."
60c714ed14cef913944a3147094a4742,1,"Produto muito inferior, mal acabado."
c45811d9f90e22a81155b3a1e4a5c2e8,5,O kit mochila patrulha canina é lindo!! Meu netinho vai amar!! Obrigada!!
e29ab4a671400c41322e4855de633c6a,5,Maravilha 
0bd4dcc4f6c4621baf37f73495cad8c4,3,Entrega no prazo
888f11883ff85fa5c07e6ae1192d85c4,5,Cumpriu o prometido na compra e com o uma entrega em tempo satisfatório 
65dfeb60c40e3cbb0a1838285d86f885,1,Pedi reembolso e sem resposta até momento 
50a1eaa2f96d6f3e02d0cd68d92bab75,5,Super rápido.
436f71c9cc0c1aab7f51dc0cd0820516,5,"Satisfeito
"
97d4feff1fd7129bee6cde095b9dac2a,5,"estao de parabens... sempre chega com muiiita antecedencia..

Muito obrigada.... "
1692078634b63c7f25aa90ee746ec498,5,OK RECOMENDO
ff722b4c68783a4459a3adb9bb4e1d0d,3,"Produto chegou, mas meu PC não conseguiu reconhecer as portas USB."
8055e963f26f70c406ca517b2c2848e6,5,"Produto de muito boa qualidade, chegou antes do prazo prometido"
ae728c1061bf163b4bd256ad9ee0bb83,1,"Este foi o pedido
Balde Com 128 Peças - Blocos De Montar 2 un - R$ 25,00 cada (NÃO FOI ENTREGUE)
Vendido e entregue targaryen
Tapete de Eva Nº Letras 36 Peças Crianças 1 un - R$ 35,90 (ESTE FOI ENTREG"
41926e45719f9b923357ea3bb222195f,5,"Entrega muito rápida
Parabéns"
72730619a00e0ecdecf0a4ff862d8996,1,comprei tres pacotes de cinco folhas cada de papel transfer para tecido escuro e so recebi dois
c5d83c2523ef15209c8faf5133a7bafb,4,"Estava faltando apenas um produto, eu recebi hoje , muito obrigada!
Tudo certo!

Att 

Elenice."
